ID,Name,Date,Year,Month,Day,Time,Status,Latitude,Longitude,Maximum.Wind,Minimum.Pressure,Decade
AL191887,UNNAMED,1887-12-07,1887,December,7,600,TS,12.5,-58.5,35,NA,Other
AL171887,UNNAMED,1887-12-03,1887,December,3,600,TS,30.5,-61,50,NA,Other
AL131887,UNNAMED,1887-10-15,1887,October,15,1800,Cat. 1,23.5,-87.8,75,NA,Other
AL041887,UNNAMED,1887-07-27,1887,July,27,0,Cat. 1,27.5,-87.6,75,NA,Other
AL041887,UNNAMED,1887-07-25,1887,July,25,1800,Cat. 1,21.5,-87.2,75,NA,Other
AL031887,UNNAMED,1887-06-12,1887,June,12,1200,TS,23.5,-86.5,35,NA,Other
AL161887,UNNAMED,1887-10-29,1887,October,29,1200,TS,26.5,-86,35,NA,Other
AL131887,UNNAMED,1887-10-14,1887,October,14,1200,Cat. 1,22.5,-85.3,65,NA,Other
AL031887,UNNAMED,1887-06-11,1887,June,11,1200,TD,20.5,-84,30,NA,Other
AL131887,UNNAMED,1887-10-13,1887,October,13,1200,Cat. 1,21.5,-82.7,75,NA,Other
AL131887,UNNAMED,1887-10-11,1887,October,11,1200,TS,19.5,-72.7,45,NA,Other
AL131887,UNNAMED,1887-10-11,1887,October,11,1800,TS,19.5,-74.3,55,NA,Other
AL071887,UNNAMED,1887-08-22,1887,August,22,0,Cat. 3,26.5,-77.2,105,NA,Other
AL061887,UNNAMED,1887-08-18,1887,August,18,600,Cat. 1,26.5,-75.8,80,NA,Other
AL121887,UNNAMED,1887-10-09,1887,October,9,1200,TS,25.5,-75,45,NA,Other
AL091887,UNNAMED,1887-09-17,1887,September,17,0,Cat. 2,19.5,-85.1,85,NA,Other
AL091887,UNNAMED,1887-09-14,1887,September,14,1200,Cat. 2,14.5,-71,85,NA,Other
AL091887,UNNAMED,1887-09-12,1887,September,12,600,TS,13.5,-60.4,50,NA,Other
AL061887,UNNAMED,1887-08-17,1887,August,17,1800,Cat. 1,25.5,-73.8,70,NA,Other
AL021887,UNNAMED,1887-05-20,1887,May,20,1800,TS,24.5,-73.8,50,NA,Other
AL071887,UNNAMED,1887-08-20,1887,August,20,1800,TS,25.5,-73.3,60,NA,Other
AL171887,UNNAMED,1887-11-28,1887,November,28,1800,TS,24.5,-72.8,55,NA,Other
AL171887,UNNAMED,1887-11-28,1887,November,28,1200,TS,24.5,-72.4,50,NA,Other
AL171887,UNNAMED,1887-11-30,1887,November,30,1800,Cat. 1,24.5,-70.4,65,NA,Other
AL061887,UNNAMED,1887-08-19,1887,August,19,1200,Cat. 3,29.5,-79,100,NA,Other
AL051887,UNNAMED,1887-08-06,1887,August,6,1800,TS,19.5,-77.1,40,NA,Other
AL051887,UNNAMED,1887-08-04,1887,August,4,600,TS,15.5,-67.2,50,NA,Other
AL051887,UNNAMED,1887-08-02,1887,August,2,0,TS,12.5,-59.5,45,NA,Other
AL171887,UNNAMED,1887-12-02,1887,December,2,1200,TS,28.5,-63.5,55,NA,Other
AL041887,UNNAMED,1887-07-20,1887,July,20,1800,TS,12.5,-62.4,60,NA,Other
AL181887,UNNAMED,1887-12-05,1887,December,5,600,TS,23.5,-61.9,40,NA,Other
AL021887,UNNAMED,1887-05-18,1887,May,18,1800,TS,19.5,-78.7,50,NA,Other
AL021887,UNNAMED,1887-05-17,1887,May,17,1200,TS,16.5,-77.5,40,NA,Other
